Year,Month,pressure,absmax,avgmax,avg,avgmin,absmin,dewpoint,relhumidity,totalrain,winddic,windspeed,OI%,time,MOY,OI proportion ,OI%*55,OI%*55 R,OI,OI*100 R,,
2011,1,1021.5,20.7,16.73333333,13.66666667,11.23333333,6.2,6.533333333,63.33333333,4.4,60,8.533333333,0,25,January,0,0,0,0,0,,
2011,2,1017.1,26.8,19.43333333,16.13333333,13.6,7.5,11.5,75.66666667,21.5,90,8.033333333,0.15,26,February,0.0015,8.25,8,0,0,,
2011,3,1019,27.6,20.66666667,17.8,15.5,11.8,11.46666667,68.66666667,19,86.66666667,9.333333333,0,27,March,0,0,0,0,0,,
2011,4,1014.1,28.9,25.9,22.4,19.83333333,16.2,17.8,77,31.7,93.33333333,8.166666667,1.19,28,April,0.0119,65.45,65,1,1,,
2011,5,1009.2,32.9,28.46666667,25.8,23.73333333,18.9,22.23333333,81.66666667,169.1,120,7.933333333,10.13,29,May,0.1013,557.15,557,6,10,,
2011,6,1005.3,33.6,30.5,28.16666667,26.23333333,23.9,25.1,84.33333333,421.1,123.3333333,9.166666667,10.01,30,June,0.1001,550.55,551,6,10,,
2011,7,1004.4,33.1,30.93333333,28.43333333,26.53333333,24.6,25.23333333,82.66666667,215.6,253.3333333,8.1,12.8,31,July,0.128,704,704,7,13,,
2011,8,1006.1,34.6,32.1,29.13333333,26.7,24.7,24.96666667,79.33333333,148.1,243.3333333,6.7,7.26,32,August,0.0726,399.3,399,4,7,,
2011,9,1007.6,32.6,30.56666667,28.03333333,25.83333333,22.6,23.33333333,76,138.6,93.33333333,11.3,6.09,33,September,0.0609,334.95,335,3,6,,
2011,10,1013.9,30.7,27.66666667,24.9,22.86666667,20.7,20,75,148.2,93.33333333,10.96666667,3.06,34,October,0.0306,168.3,168,2,3,,
2011,11,1015.4,30.3,25.76666667,23.06666667,21.16666667,17.1,17.7,72.66666667,92.3,93.33333333,10.23333333,1.22,35,November,0.0122,67.1,67,1,1,,
2011,12,1020.8,25.2,20.43333333,17.06666667,14.36666667,8.9,8.6,59.33333333,2.7,60,8.9,0.3,36,December,0.003,16.5,16,0,0,,
2012,1,1019.3,24,17.7,15.23333333,13.26666667,6.9,11.16666667,78,38.4,90,7.433333333,0,37,January,0,0,0,0,0,,
2012,2,1016.8,24.5,18.7,16.3,14.26666667,9.1,12.6,79.33333333,30.9,90,8.933333333,0,38,February,0,0,0,0,0,,
2012,3,1015.5,28.9,22.46666667,19.5,17.2,10.8,15.16666667,78.33333333,17,96.66666667,9.933333333,0.61,39,March,0.0061,33.55,34,0,1,,
2012,4,1011.2,30.6,26.33333333,23.8,21.76666667,17.7,20.86666667,84.33333333,274,96.66666667,9.233333333,4.54,40,April,0.0454,249.7,250,3,5,,
2012,5,1007.3,32.4,29.36666667,27.03333333,25.3,23.7,24.1,84.33333333,318.6,96.66666667,10.06666667,13.43,41,May,0.1343,738.65,739,7,13,,
2012,6,1002.4,34.1,30.26666667,28.03333333,26.2,24.3,24.7,82.33333333,234.8,103.3333333,10.16666667,12.73,42,June,0.1273,700.15,700,7,13,,
2012,7,1004.4,34.8,31.03333333,28.5,26.26666667,23.8,25,82,394.8,123.3333333,9.3,4.18,43,July,0.0418,229.9,230,2,4,,
2012,8,1003.1,35.1,31.83333333,29.13333333,26.73333333,24.4,24.93333333,78.66666667,159.1,243.3333333,7.166666667,7.05,44,August,0.0705,387.75,388,4,7,,
2012,9,1010.2,32.4,30.6,27.73333333,25.33333333,21.9,22.4,74.33333333,199,96.66666667,8.733333333,2.77,45,September,0.0277,152.35,152,2,3,,
2012,10,1014.3,30.7,28.1,25.26666667,23,17.4,19.56666667,71.66666667,44.4,100,10.36666667,1.95,46,October,0.0195,107.25,107,1,2,,
2012,11,1015.3,29,24.73333333,22.33333333,20.43333333,13.6,18.1,78,54,100,9.733333333,0.3,47,November,0.003,16.5,16,0,0,,
2012,12,1018.2,27.1,20.53333333,18.03333333,15.73333333,6.1,12.9,73.33333333,48.1,100,10.03333333,0.3,48,December,0.003,16.5,16,0,0,,
2013,1,1020.4,25.6,20.06666667,16.73333333,14.2,9.7,10.5,67.66666667,3.2,93.33333333,7.633333333,0,49,January,0,0,0,0,0,,
2013,2,1018.2,27.2,22.36666667,19,16.83333333,10.9,14.93333333,78,2.1,103.3333333,8.633333333,0,50,February,0,0,0,0,0,,
2013,3,1015.6,28.4,23.56666667,20.3,17.76666667,11.4,15.8,77.66666667,128.7,100,8.2,0,51,March,0,0,0,0,0,,
2013,4,1012.2,29.9,24.16666667,21.76666667,19.7,14.4,18.56666667,83,182.5,100,8.8,2.88,52,April,0.0288,158.4,158,2,3,,
2013,5,1008.7,32.1,28.06666667,25.66666667,23.73333333,15.8,23.13333333,86.66666667,401.3,126.6666667,8.166666667,10.18,53,May,0.1018,559.9,560,6,10,,
2013,6,1005.4,33.6,30.5,28.13333333,26.1,22.3,25.03333333,83.66666667,353,106.6666667,9.5,11.62,54,June,0.1162,639.1,639,6,12,,
2013,7,1007,33.5,30.66666667,27.9,25.7,24.1,24.9,84,414.1,100,8.766666667,8.57,55,July,0.0857,471.35,471,5,9,,
2013,8,1004.7,34.7,30.86666667,28.46666667,26.06666667,23.9,25.16666667,83,359.7,100,9.333333333,8.76,56,August,0.0876,481.8,482,5,9,,
2013,9,1008.3,35.8,30.33333333,27.7,25.66666667,23.1,23.2,77.66666667,363.5,100,11.06666667,5.44,57,September,0.0544,299.2,299,3,5,,
2013,10,1014.2,32.4,28.73333333,25.43333333,23.06666667,17.8,17.76666667,64.33333333,1.3,100,8.7,2.36,58,October,0.0236,129.8,130,1,2,,
2013,11,1017.2,31,24.83333333,21.93333333,19.5,12.2,14.7,66,63.1,100,10.66666667,0.61,59,November,0.0061,33.55,34,0,0,,
2013,12,1019.5,27.2,19.9,16.06666667,13.13333333,7.9,6.333333333,55.33333333,76.6,66.66666667,7.666666667,0.15,60,December,0.0015,8.25,8,0,0,,
2014,1,1021.2,25.8,20.13333333,16.16666667,13.06666667,8.3,7.866666667,61,0.1,93.33333333,8.033333333,0,61,January,0,0,0,0,0,,
2014,2,1017.6,25.3,18.53333333,15.6,13.16666667,6.4,11.16666667,75.66666667,35.9,93.33333333,8.933333333,0,62,February,0,0,0,0,0,,
2014,3,1016.9,27.4,21.23333333,18.8,16.86666667,13.3,14.8,78.66666667,153.72,93.33333333,8.7,0,63,March,0,0,0,0,0,,
2014,4,1013.1,29.2,25.16666667,22.66666667,20.76666667,17.1,19.26666667,82.33333333,123.3,100,8.733333333,1.86,64,April,0.0186,102.3,102,1,2,,
2014,5,1009.2,32.5,28.3,26.03333333,24.23333333,17.9,23.56666667,86.66666667,725.7,100,8.733333333,9.98,65,May,0.0998,548.9,549,5,10,,
2014,6,1003.6,33.6,31,28.56666667,26.36666667,24.5,24.83333333,81.33333333,412.84,176.6666667,6.966666667,11.32,66,June,0.1132,622.6,623,6,11,,
2014,7,1005.1,33.7,32,29.3,26.86666667,25.1,25.46666667,80.33333333,231.66,256.6666667,7.266666667,8.41,67,July,0.0841,462.55,463,5,8,,
2014,8,1006.7,34.4,31.23333333,28.46666667,26.1,22.3,25.16666667,82.66666667,525.82,250,7.266666667,5.78,68,August,0.0578,317.9,318,3,6,,
2014,9,1008.1,33.7,31.56666667,28.46666667,25.9,23.1,24.2,78.66666667,136.12,126.6666667,8.066666667,4.04,69,September,0.0404,222.2,222,2,4,,
2014,10,1014.4,31.6,28.93333333,25.76666667,23.33333333,21.3,19.46666667,69.33333333,110.66,106.6666667,9.233333333,2.72,70,October,0.0272,149.6,150,2,3,,
2014,11,1016.6,29.5,25.1,22.46666667,20.46666667,17.4,17.7,75,49.16,100,8.733333333,0.48,71,November,0.0048,26.4,26,0,0,,
2014,12,1021.4,23.7,19.13333333,16.23333333,13.73333333,8.9,8.066666667,62,40.66,73.33333333,8.933333333,0,72,December,0,0,0,0,0,,
2015,1,1021,24.4,19.83333333,16.26666667,13.6,9.6,9.933333333,68.33333333,38.42,93.33333333,8.433333333,0,73,January,0,0,0,0,0,,
2015,2,1019.2,26,20.43333333,17.53333333,15.43333333,9.8,12.5,74.66666667,27.06,93.33333333,8.933333333,0,74,February,0,0,0,0,0,,
2015,3,1017.4,27.7,22.43333333,19.96666667,18.13333333,13.9,16.7,82,21.98,126.6666667,8.733333333,0.3,75,March,0.003,16.5,16,0,0,,
2015,4,1013.8,31.1,25.93333333,23.06666667,20.53333333,14.5,18.46666667,77,53.92,126.6666667,7.366666667,1.68,76,April,0.0168,92.4,92,1,2,,
2015,5,1008.4,32.9,29.43333333,27.1,25,21.7,24.6,87,488.9,153.3333333,7.533333333,10.23,77,May,0.1023,562.65,563,6,10,,
2015,6,1007,33.8,31.56666667,29.23333333,27.1,25.1,25.8,82,211.72,250,7.566666667,10.46,78,June,0.1046,575.3,575,6,10,,
2015,7,1004,33.8,31.16666667,28.73333333,26.7,23.9,24.9,80.66666667,438.52,183.3333333,7.8,4.88,79,July,0.0488,268.4,268,3,5,,
2015,8,1005.8,36.4,31.53333333,28.76666667,26.33333333,24.4,24.86666667,79.66666667,172.9,183.3333333,5.533333333,8.18,80,August,0.0818,449.9,450,5,8,,
2015,9,1009.9,32.8,30.73333333,28.13333333,26.13333333,23.7,23.43333333,76.66666667,109.12,100,8.133333333,3.3,81,September,0.033,181.5,182,2,3,,
2015,10,1014.1,31.8,28.76666667,25.66666667,23.2,18,20.76666667,75.33333333,135.18,100,8.733333333,4.45,82,October,0.0445,244.75,245,2,4,,
2015,11,1017.2,31.4,26.83333333,24,21.93333333,14.3,19.23333333,75.66666667,24.16,100,10.23333333,0.86,83,November,0.0086,47.3,47,0,1,,
2015,12,1020.5,26.6,21,18.7,16.9,10.5,13.26666667,72.66666667,63.72,93.33333333,8.8,0.11,84,December,0.0011,6.05,6,0,0,,
2016,1,1020.5,26.3,18.5,16.2,14.2,2.6,12,78,214.22,93.33333333,9.433333333,0,85,January,0,0,0,0,0,,
2016,2,1022.3,25.9,18.73333333,15.6,12.96666667,7,8.966666667,68.33333333,24.74,66.66666667,7.966666667,0,86,February,0,0,0,0,0,,
2016,3,1017.8,25.7,20.53333333,17.7,15.26666667,9,13.93333333,80,162.18,96.66666667,8.8,0,87,March,0,0,0,0,0,,
2016,4,1011.7,29.6,26.03333333,23.53333333,21.63333333,19,21.46666667,88.33333333,228.5,130,7.533333333,1.66,88,April,0.0166,91.3,91,1,2,,
2016,5,1009.8,32.2,28.96666667,26.53333333,24.5,19.5,23.43333333,83.66666667,191.14,103.3333333,9.833333333,7.96,89,May,0.0796,437.8,438,4,8,,
2016,6,1007.7,34,31.26666667,28.76666667,26.66666667,23.6,25.7,84,358.28,183.3333333,7.966666667,11.76,90,June,0.1176,646.8,647,6,12,,
2016,7,1007,35.4,32,29.36666667,26.73333333,23.3,25.46666667,80.33333333,200.36,250,7.733333333,12.91,91,July,0.1291,710.05,710,7,13,,
2016,8,1002.8,34.2,30.9,28.1,26,22.9,24.96666667,83.66666667,474.94,120,7.433333333,7.72,92,August,0.0772,424.6,425,4,8,,
2016,9,1007.1,35.4,30.4,27.8,25.86666667,22.4,23.4,78.66666667,309.6,93.33333333,7.7,5.04,93,September,0.0504,277.2,277,3,5,,
2016,10,1010.7,32.5,29.03333333,26.36666667,24.06666667,20.8,21.93333333,77.33333333,560.16,266.6666667,9.166666667,3.69,94,October,0.0369,202.95,203,2,4,,
2016,11,1017,30,24.76666667,21.9,19.56666667,12,17.43333333,76,131.76,86.66666667,7.866666667,0.78,95,November,0.0078,42.9,43,0,1,,
2016,12,1019.5,27.7,22.5,19.36666667,16.83333333,10.4,12.56666667,66,9.92,86.66666667,7.966666667,0,96,December,0,0,0,0,0,,
2017,1,1019.8,27,21.16666667,18.46666667,16.4,12.8,14.16666667,77,9.7,86.66666667,7.666666667,0,97,January,0,0,0,0,0,,
2017,2,1020.5,26,19.86666667,16.56666667,14.1,9.7,10.63333333,70,18.48,86.66666667,8.133333333,0,98,February,0,0,0,0,0,,
2017,3,1016.4,27.1,21.93333333,19.23333333,16.96666667,13,14.63333333,76,38.9,90,8.666666667,0,99,March,0,0,0,0,0,,
2017,4,1013.2,30.5,25.36666667,22.63333333,20.33333333,15,18.93333333,80.66666667,74.36,90,6.466666667,2.5,100,April,0.025,137.5,138,1,2,,
2017,5,1010.6,31.4,27.93333333,25.43333333,23.36666667,20.3,22.4,84.33333333,313.36,123.3333333,7,15.95,101,May,0.1595,877.25,877,9,16,,
2017,6,1006.7,33.3,30.43333333,28.5,26.76666667,23.8,26.43333333,89.33333333,636.5,200,7.266666667,13.11,102,June,0.1311,721.05,721,7,13,,
2017,7,1006.8,35.6,31.4,28.73333333,26.6,24,26.4,87.66666667,600.2,90,7.233333333,11.11,103,July,0.1111,611.05,611,6,11,,
2017,8,1006.4,36.9,31.7,29.06666667,26.86666667,23.5,25,80,481.12,246.6666667,6.566666667,7.69,104,August,0.0769,422.95,423,4,8,,
2017,9,1009.2,34.1,31.66666667,28.8,26.46666667,24.5,24.66666667,79,218.24,93.33333333,6.8,7.09,105,September,0.0709,389.95,390,4,7,,
2017,10,1012.7,33.9,29.5,26.46666667,24.23333333,18.5,19.26666667,65.33333333,92.62,96.66666667,10.06666667,3.58,106,October,0.0358,196.9,197,2,4,,
2017,11,1016.7,30.3,25.16666667,22.46666667,20.36666667,14.7,16.56666667,70,31.82,86.66666667,7.6,0.96,107,November,0.0096,52.8,53,1,1,,
2017,12,1020.7,25.7,21.3,18.03333333,15.5,8.9,8.866666667,57.66666667,0.1,80,8.333333333,0.22,108,December,0.0022,12.1,12,0,0,,
2018,1,1018.5,25.5,18.9,16.1,13.7,7,10.16666667,71.33333333,62.04,86.66666667,8.5,0,109,January,0,0,0,0,0,,
2018,2,1019.8,26.3,18.9,15.83333333,13.26666667,6,9.4,67,6.34,116.6666667,6.5,0,110,February,0,0,0,0,0,,
2018,3,1016.2,28.4,24.16666667,20.5,17.83333333,10.2,15.4,73.66666667,24.74,90,7.266666667,0.13,111,March,0.0013,7.15,7,0,0,,
2018,4,1014.2,30.2,26.26666667,23.1,20.7,13.3,18.46666667,76.33333333,36.48,110,6.7,1.11,112,April,0.0111,61.05,61,1,1,,
2018,5,1010.6,34.9,30.63333333,27.7,25.4,21.3,23.4,78.33333333,71.86,233.3333333,7.6,10.19,113,May,0.1019,560.45,560,6,10,,
2018,6,1005,35.1,30.66666667,28.23333333,26.2,24,24.36666667,80.66666667,492.74,83.33333333,7.833333333,11.69,114,June,0.1169,642.95,643,6,12,,
2018,7,1004,33.6,31,28.6,26.5,24.6,25.4,83.66666667,330.06,163.3333333,6.433333333,18.22,115,July,0.1822,1002.1,1002,10,18,,
2018,8,1001.9,33.6,30.66666667,28.06666667,26.03333333,24.1,25.5,86.66666667,609.08,120,6.533333333,9.44,116,August,0.0944,519.2,519,5,9,,
