year,month,temperature_max_abs,temperature_max_avg,temperature_avg,temperature_min_avg,temperature_min_abs,rel_humidity,total_rain,wind_dir,wind_speed,ovitrap_idx
2011,9,32.5,30.5,27.7,25.5,22.6,78,130,100,11.3,6.091666667
2011,10,30.4,27.4,24.5,22.6,20.7,77,176,100,10.3,3.058333333
2011,11,30.3,25.7,22.8,20.9,17.1,76,84.5,100,9.5,1.216666667
2011,12,25.2,20.1,16.6,13.9,8.9,60,2.5,20,9.1,0.3
2012,1,24,17.3,14.7,12.8,6.9,80,45,110,7.9,0
2012,2,24.5,18.1,15.5,13.4,9.1,84,32,110,9.8,0
2012,3,28.9,21.8,18.7,16.4,10.8,83,22.5,110,10,0.608333333
2012,4,30.6,26.4,23.6,21.5,17.7,85,227.5,110,9.9,4.541666667
2012,5,32.4,29.5,26.9,25.1,23.7,85,260,110,10.2,13.425
2012,6,33.5,30.4,27.9,26,24.3,83,276.5,110,10.5,12.73333333
2012,7,34.3,31.3,28.5,26.2,23.8,82,474,110,9.3,4.183333333
2012,8,34.5,31.9,29.2,27,24.5,78,124.5,270,   7.3#,7.05
2012,9,32.4,30.6,27.6,25.4,23.2,75,215, 110#,   8.4#,2.766666667
2012,10,30.7,28.1,25,23,17.4,73,47,120,10.1,1.95
2012,11,28.8,24.4,21.8,19.9,13.6,80,63,120,9.6,0.3
2012,12,26.9,20,17.5,15.2,6.1,76,51.5,120,9.1,0.3
2013,1,25.6,19.8,16.4,14,9.9,69,3,120,7.3,0
2013,2,27.2,22.3,18.6,16.3,10.9,80,1.5,130,8.3,0
2013,3,28.4,23.3,20.1,17.7,12.5,79,120,120,8.2,0
2013,4,29.9,23.9,21.3,19.3,14.4,85,236,120,9,2.875
2013,5,32.1,28.4,25.6,23.6,15.8,86,441.5,120,7.9,10.175
2013,6,33.6,30.7,28.2,26.1,22.3,83,389.5,120,9.3,11.61666667
2013,7,33.5,31,27.9,25.7,24.1,84,365,120,8.5,8.566666667
2013,8,34.1,31,28.4,26.2,23.9,83,432.5,120,9.2,8.758333333
2013,9,34.7,30.4,27.5,25.4,23.1,79,451.5,120,9.8,5.441666667
2013,10, 32.1#, 28.6#, 25.3#, 23.2#, 18.8#, 63#,   1.0#, 120#,   8.1#,2.358333333
2013,11,29.6,24.5,21.6,19.3,12.2,68,77,120,9.4,0.608333333
2013,12,26.1,19.5,16,13.4,8.4,56,87.5,40,6.8,0.15
2014,1,25.8,20,16.1,13.4,9.6,63,0,120,8.3,0
2014,2,25.3,18.2,15.2,12.9,6.4,79,38.5,120,9,0
2014,3,27.4,20.9,18.4,16.4,13.3,82,146.1,120,8.9,0
2014,4,29.2,25.1,22.4,20.5,17.1,85,131.5,120,8.4,1.858333333
2014,5,32.5,28.7,26.1,24.1,17.9,86,674,120,8.8,9.975
2014,6,33.6,31.4,28.7,26.5,24.5,80,454.2,290,6.9,11.31666667
2014,7,33.7,32.4,29.5,27,25.1,79,256.3,290,7.2,8.408333333
2014,8,34.4,31.7,28.6,26.1,22.3,82,582.6,290,7,5.783333333
2014,9,33.7,31.7,28.6,26.3,24.9,78,141.1,120,7.6,4.041666667
2014,10,31.2,28.8,25.7,23.6,21.8,70,113.8,120,8.7,2.716666667
2014,11,29.5,24.9,22.2,20.4,17.4,77,27.8,120,7.8,0.475
2014,12,23.4,18.8,15.9,13.4,9.8,64,47.3,40,8,0
2015,1,24.4,19.5,16,13.6,9.6,71,43.6,120,7.9,0
2015,2,25,19.9,17,15.1,9.8,78,32.8,120,8.8,0
2015,3,27.5,21.9,19.3,17.6,13.9,86,31.9,120,9,0.3
2015,4,31.1,26.2,23,20.6,15.2,77,61.6,120,6.5,1.675
2015,5,32.9,29.9,27.1,24.8,21.7,85,539,220,7.8,10.225
2015,6,33.8,32.1,29.3,27.1,25.1,80,278.6,290,7.9,10.45833333
2015,7,33.8,31.5,28.8,26.7,23.9,78,445.1,290,7.8,4.883333333
2015,8,36.4,31.8,28.9,26.6,24.4,77,175,290,5.6,8.175
2015,9,32.7,30.8,28,26,23.7,78,89.6,120,7.8,3.3
2015,10,31.8,28.7,25.6,23.4,18,74,169.9,120,8,4.447058824
2015,11,31.4,26.5,23.6,21.6,14.3,77,29.8,120,8.9,0.864705882
2015,12,26.5,20.4,18.1,16.3,10.5,74,65.1,120,8.2,0.105882353
2016,1,26.3,18.1,15.6,13.8,2.6,80,242.1,120,9.1,0
2016,2,25.9,18.4,15.2,12.7,8.7,69,29.7,40,8.1,0
2016,3,25.7,20,17.1,15,9.2,82,138.9,130,9.8,0
2016,4,29.6,26.1,23.2,21.3,19.1,89,230.5,130,8,1.664705882
2016,5,32.2,29.1,26.4,24.3,19.5,83,234.7,130,9.1,7.964705882
2016,6,34,31.8,28.9,26.8,23.6,82,366.9,290,7.5,11.75882353
2016,7,35.4,32.2,29.3,26.6,23.3,79,193.3,290,8,12.90588235
2016,8,33.4,30.9,27.9,25.8,22.9,83,545.7,120,7.5,7.723529412
2016,9,34.9,30.4,27.6,25.6,22.4,78,301,120,7.3,5.035294118
2016,10,32.5,29.3,26.5,24.4,21.1,78,668.3,120,8.7,3.694117647
2016,11,30,24.7,21.7,19.5,12,76,132.8,120,7.8,0.782352941
2016,12,27.7,22.5,19.3,16.9,10.4,66,11.6,120,8.3,0
2017,1,27,21.1,18.2,16.2,12.8,77,10,120,8,0
2017,2,26,20,16.5,13.9,9.7,72,21.9,120,9,0
2017,3,27.1,21.8, 18.9#,16.7,13, 78#,  32.0#, 130#,  10.2#,0
2017,4,30.5,26.1,22.9,20.6,15,80,75.8,130,7.4,2.5
2017,5,31.4,28.4,25.7,23.7,21.7,81,446.3,130,7.8,15.94705882
2017,6,33.3,31.1,28.7,26.9,24,84,642.5,360,7.6,13.10588235
2017,7,35.3,31.4,28.6,26.6,24,83,574.5,130,8.3,11.10588235
2017,8,36.9,32.1,29.2,27,23.7,80,541.1,300,8.3,7.694117647
2017,9,33.6,31.8,28.8,26.8,24.9,79,231.7,120,8,7.094117647
2017,10,33.3,29.1,26,23.9,18.5,68,127.6,130,10.8,3.582352941
2017,11,29.7,24.7,22,19.9,14.7,72,35.6,120,8.4,0.958823529
2017,12,24.4,20.9,17.7,15.3,8.9,59,0,120,9.2,0.217647059
2018,1,25.5,18.5,15.7,13.5,7,74,70.7,120,9.7,0
2018,2,26.3,18.9,15.7,13.2,6,67,5.2,130,8.1,0
2018,3,28.4,24.1,20.3,17.9,10.2,75,25.7,130,8.6,0.125
2018,4,30.2,26.6,23.1,20.9,14.9,77,32.4,90,8.3,1.1125
2018,5,34.9,31.3,27.9,25.4,21.3,77,64.8,260,9.6,10.19375
2018,6,35.1,31.2,28.3,26.2,24,80,459.2,90,9.5,11.6875
2018,7,33.5,31.4,28.8,26.5,24.6,81,342.8,90,10.5,18.22352941
2018,8,33.4,31,28.2,26.3,24.1,84,676.4,260,8.6,9.441176471
2018,9,34.7,30.9,27.7,25.5,23,77,432.5,100,  9.7,7.452941176
2018,10,30.7,27.9,24.9,22.7,20.3,67,119.3,100,  9.8,2.858823529
2018,11,28.7,25.1,22.5,20.8,16.5,76, 69.8,90, 10.4,0.811764706
2018,12,29.3,21.6,18.7,16.7, 9.2,73,  9.9,100,  8.9,0.135294118
