Date,County,Town,Village,VillageID,HouseHold,InspectType,PosHH,PosHHAeg,ConIn,ConOut,ConAll,PosConIn,PosConOut,PosConAll,FAegIn,FAegOut,LarvaAeg,BI,AIAeg,AIAlb,LI,CI
1/25/2010,???,???,???,6401200-069,50,??,1,0,21,13,34,0,1,1,0,0,0,2,0,0,30,2.941
1/25/2010,???,???,???,6401200-078,50,??,1,1,9,14,23,0,1,1,0,0,2,2,0,0,4,4.347
1/25/2010,???,???,???,6401200-065,50,??,1,1,14,12,26,0,1,1,0,0,10,2,0,0,20,3.846
1/25/2010,???,???,???,6401200-034,50,??,1,1,11,21,32,0,1,1,0,1,3,2,0.02,0,6,3.125
1/25/2010,???,???,???,6401200-068,50,??,2,0,10,11,21,1,1,2,0,0,0,4,0,0,42,9.523
1/25/2010,???,???,???,6401200-073,50,??,1,1,20,5,25,1,0,1,0,0,11,2,0,0,22,4
1/26/2010,???,???,???,6401200-037,50,??,1,1,29,10,39,0,1,1,0,0,10,2,0,0,22,2.564
1/26/2010,???,???,???,6401200-075,50,??,1,1,18,9,27,1,0,1,0,0,1,2,0,0,2,3.703
1/26/2010,???,???,???,6401200-066,50,??,1,1,22,4,26,0,1,1,0,0,5,2,0,0,10,3.846
1/26/2010,???,???,???,6401200-068,50,??,1,1,8,10,18,1,0,1,0,0,2,2,0,0,4,5.555
1/26/2010,???,???,???,6401200-036,50,??,1,1,20,21,41,0,1,1,0,0,23,2,0,0,46,2.439
1/26/2010,???,???,???,6401200-067,50,??,1,1,16,9,25,1,0,1,0,0,20,2,0,0,40,4
1/27/2010,???,???,???,6401200-069,50,??,1,1,23,12,35,1,0,1,0,0,15,2,0,0,30,2.857
1/27/2010,???,???,???,6401200-032,50,??,1,1,10,7,17,1,0,1,0,0,10,2,0,0,20,5.882
1/27/2010,???,???,???,6401200-076,50,??,1,1,12,5,17,0,1,1,0,0,1,2,0,0,2,5.882
1/27/2010,???,???,???,6401200-038,50,??,1,1,15,20,35,0,1,1,0,0,8,2,0,0,16,2.857
1/27/2010,???,???,???,6401200-066,50,??,1,1,11,9,20,0,1,1,1,0,2,2,0.02,0,4,5
1/27/2010,???,???,???,6401200-068,50,??,1,1,9,7,16,0,1,1,0,0,10,2,0,0,20,6.25
1/27/2010,???,???,???,6401200-040,50,??,2,1,10,15,25,1,1,2,0,0,1,4,0,0,12,8
1/27/2010,???,???,???,6401200-040,50,??,5,0,11,21,32,2,3,5,0,0,0,10,0,0,46,15.625
1/28/2010,???,???,???,6401200-034,50,??,1,1,16,18,34,0,5,5,0,1,20,10,0.02,0,100,14.705
1/28/2010,???,???,???,6401200-036,50,??,3,3,15,18,33,1,2,3,0,0,13,6,0,0,26,9.09
1/28/2010,???,???,???,6401200-040,50,??,1,0,10,19,29,0,1,1,0,0,0,2,0,0,20,3.448
1/28/2010,???,???,???,6401200-040,50,??,1,0,11,13,24,0,1,1,0,0,0,2,0,0,4,4.166
1/29/2010,???,???,???,6401200-032,50,??,1,1,9,9,18,0,1,1,1,9,7,2,0.2,0,14,5.555
1/29/2010,???,???,???,6401200-063,50,??,1,0,25,11,36,1,0,1,0,0,0,2,0,0,8,2.777
1/29/2010,???,???,???,6401200-038,50,??,3,1,14,29,43,1,3,4,1,0,2,8,0.02,0.04,46,9.302
1/29/2010,???,???,???,6401200-036,50,??,1,1,14,14,28,1,0,1,0,0,15,2,0,0,30,3.571
1/29/2010,???,???,???,6401200-029,50,??,1,1,28,13,41,0,1,1,0,0,1,2,0,0,2,2.439
2/1/2010,???,???,???,6401200-033,50,??,0,0,26,15,41,0,2,2,0,0,15,4,0,0,62,4.878
2/1/2010,???,???,???,6401200-073,50,??,0,0,19,9,28,1,0,1,0,0,5,2,0,0,10,3.571
2/2/2010,???,???,???,6401200-070,50,??,2,2,15,16,31,0,2,2,0,0,4,4,0,0,8,6.451
2/2/2010,???,???,???,6401200-025,50,??,1,1,21,5,26,1,0,1,0,0,8,2,0,0,16,3.846
2/2/2010,???,???,???,6401200-033,50,??,1,1,18,16,34,1,0,1,0,0,2,2,0,0,4,2.941
2/2/2010,???,???,???,6401200-073,50,??,1,1,14,10,24,1,0,1,0,0,5,2,0,0,10,4.166
2/3/2010,???,???,???,6401200-028,50,??,1,1,13,18,31,0,1,1,0,0,5,2,0,0,10,3.225
2/3/2010,???,???,???,6401200-070,50,??,1,1,14,8,22,1,0,1,0,0,3,2,0,0,6,4.545
2/3/2010,???,???,???,6401200-065,50,??,1,1,17,19,36,0,1,1,0,0,10,2,0,0,20,2.777
2/3/2010,???,???,???,6401200-040,50,??,1,0,27,6,33,1,0,1,0,0,0,2,0,0,2,3.03
2/3/2010,???,???,???,6401200-049,50,??,1,1,12,6,18,0,1,1,0,0,3,2,0,0,6,5.555
2/4/2010,???,???,???,6401200-017,50,??,2,2,10,18,28,0,2,2,1,0,17,4,0.02,0,34,7.142
2/4/2010,???,???,???,6401200-026,50,??,2,2,27,17,44,2,1,3,1,0,56,6,0.02,0,112,6.818
2/4/2010,???,???,???,6401200-038,50,??,1,1,14,12,26,0,1,1,0,0,2,2,0,0,4,3.846
2/4/2010,???,???,???,6401200-033,50,??,2,2,15,10,25,0,2,2,7,0,20,4,0.14,0,40,8
2/4/2010,???,???,???,6401200-040,50,??,2,1,21,18,39,1,2,3,0,0,3,6,0,0,66,7.692
2/4/2010,???,???,???,6401200-077,50,??,1,0,26,13,39,0,1,1,0,0,0,2,0,0,4,2.564
2/5/2010,???,???,???,6401200-028,50,??,1,1,19,12,31,0,1,1,0,0,4,2,0,0,8,3.225
2/5/2010,???,???,???,6401200-072,50,??,1,1,20,12,32,1,0,1,0,0,4,2,0,0,8,3.125
2/5/2010,???,???,???,6401200-071,50,??,1,1,16,5,21,1,0,1,1,0,20,2,0.02,0,40,4.761
2/5/2010,???,???,???,6401200-027,50,??,2,2,13,9,22,1,1,2,0,0,18,4,0,0,36,9.09
2/5/2010,???,???,???,6401200-046,50,??,1,0,0,67,67,0,6,6,0,0,0,12,0,0.06,54,8.955
2/5/2010,???,???,???,6401200-077,50,??,1,1,14,7,21,0,1,1,1,0,1,2,0.02,0,2,4.761
2/6/2010,???,???,???,6401200-072,50,??,2,1,6,21,27,0,2,2,0,0,5,4,0,0.02,30,7.407
2/6/2010,???,???,???,6401200-071,50,??,2,2,14,19,33,0,2,2,0,0,6,4,0,0,12,6.06
2/6/2010,???,???,???,6401200-017,50,??,1,0,17,10,27,1,0,1,0,0,10,2,0,0,20,3.703
2/6/2010,???,???,???,6401200-040,50,??,2,0,14,19,33,0,2,2,0,0,0,4,0,0,30,6.06
2/8/2010,???,???,???,6401200-057,50,??,1,1,21,5,26,0,1,1,0,0,15,2,0,0,30,3.846
2/8/2010,???,???,???,6401200-017,50,??,5,5,12,10,22,1,4,5,1,0,38,10,0.02,0,76,22.727
2/8/2010,???,???,???,6401200-055,50,??,1,1,14,9,23,0,1,1,0,0,1,2,0,0,2,4.347
2/8/2010,???,???,???,6401200-076,50,??,1,1,21,10,31,1,0,1,0,0,1,2,0,0,2,3.225
2/8/2010,???,???,???,6401200-025,50,??,1,1,10,18,28,0,2,2,0,0,15,4,0,0,30,7.142
2/8/2010,???,???,???,6401200-036,50,??,1,1,15,18,33,0,1,1,0,0,20,2,0,0,40,3.03
2/9/2010,???,???,???,6401200-028,50,??,1,1,9,11,20,1,0,1,4,0,16,2,0.08,0,32,5
2/9/2010,???,???,???,6401200-072,50,??,1,0,2,30,32,0,1,1,0,0,0,2,0,0,8,3.125
2/9/2010,???,???,???,6401200-046,50,??,1,0,0,20,20,0,5,5,0,0,0,10,0,0,100,25
2/9/2010,???,???,???,6401200-034,50,??,2,2,7,21,28,0,3,3,1,0,23,6,0.02,0,46,10.714
2/9/2010,???,???,???,6401200-054,50,??,1,1,20,14,34,1,0,1,0,0,5,2,0,0,10,2.941
2/9/2010,???,???,???,6401200-025,50,??,2,2,21,12,33,1,1,2,0,0,11,4,0,0,22,6.06
2/9/2010,???,???,???,6401200-020,100,??,1,1,5,43,48,0,7,7,0,0,1,7,0,0,37,14.583
2/10/2010,???,???,???,6401200-038,50,??,1,1,18,9,27,2,0,2,1,0,5,4,0.02,0,10,7.407
2/10/2010,???,???,???,6401200-040,50,??,1,1,12,14,26,1,0,1,0,1,0,2,0.02,0.1,2,3.846
2/11/2010,???,???,???,6401200-028,50,??,1,1,16,10,26,1,0,1,13,0,10,2,0.26,0,20,3.846
2/11/2010,???,???,???,6401200-033,50,??,1,1,13,17,30,1,0,1,0,0,4,2,0,0,8,3.333
2/11/2010,???,???,???,6401200-033,50,??,3,3,13,7,20,1,2,3,0,2,30,6,0.04,0,60,15
2/11/2010,???,???,???,6401200-040,50,??,1,0,25,33,58,0,1,1,0,0,0,2,0,0,12,1.724
2/11/2010,???,???,???,6401200-040,50,??,4,0,7,32,39,0,7,7,0,0,0,14,0,0,98,17.948
2/12/2010,???,???,???,6401200-028,50,??,1,1,18,17,35,1,0,1,32,0,5,2,0.64,0,10,2.857
2/12/2010,???,???,???,6401200-017,50,??,2,2,12,16,28,0,3,3,1,0,15,6,0.02,0,30,10.714
2/12/2010,???,???,???,6401200-037,50,??,1,0,15,24,39,0,1,1,0,0,0,2,0,0,2,2.564
2/12/2010,???,???,???,6401200-038,50,??,1,1,21,25,46,0,1,1,0,0,5,2,0,0,10,2.173
2/12/2010,???,???,???,6401200-040,50,??,2,0,15,32,47,0,2,2,0,0,0,4,0,0,14,4.255
2/12/2010,???,???,???,6401200-016,50,??,1,1,11,11,22,0,1,1,0,0,3,2,0,0,6,4.545
2/22/2010,???,???,???,6401200-071,50,??,2,0,28,12,40,0,2,2,0,0,0,4,0,0,36,5
2/22/2010,???,???,???,6401200-034,50,??,1,1,7,31,38,0,1,1,0,0,25,2,0,0,50,2.631
2/22/2010,???,???,???,6401200-040,50,??,1,0,11,48,59,0,1,1,0,0,0,2,0,0,2,1.694
2/22/2010,???,???,???,6401200-040,50,??,1,0,15,15,30,1,0,1,0,0,0,2,0,0,2,3.333
2/22/2010,???,???,???,6401200-040,50,??,1,1,20,38,58,1,0,1,0,0,10,2,0,0,20,1.724
2/23/2010,???,???,???,6401200-071,50,??,1,1,9,24,33,0,1,1,0,0,0,2,0,0,8,3.03
2/23/2010,???,???,???,6401200-017,50,??,1,1,16,10,26,0,1,1,0,0,2,2,0,0,4,3.846
2/23/2010,???,???,???,6401200-038,50,??,1,1,10,15,25,0,1,1,0,0,2,2,0,0,4,4
2/23/2010,???,???,???,6401200-054,50,??,1,1,16,5,21,0,1,1,0,0,9,2,0,0,18,4.761
2/23/2010,???,???,???,6401200-025,50,??,1,1,11,24,35,1,0,1,0,0,12,2,0,0,24,2.857
2/23/2010,???,???,???,6401200-066,50,??,1,0,25,8,33,0,1,1,0,0,1,2,0,0,10,3.03
2/23/2010,???,???,???,6401200-033,50,??,1,1,14,15,29,0,1,1,0,0,2,2,0,0,4,3.448
2/23/2010,???,???,???,6401200-033,50,??,1,1,15,12,27,0,1,1,0,0,20,2,0,0.02,40,3.703
2/24/2010,???,???,???,6401200-072,50,??,1,1,24,10,34,1,0,1,0,0,5,2,0,0,10,2.941
2/24/2010,???,???,???,6401200-070,50,??,1,1,11,33,44,0,1,1,0,0,3,2,0,0,6,2.272
2/24/2010,???,???,???,6401200-032,50,??,2,2,21,11,32,0,2,2,0,0,13,4,0,0,26,6.25
2/24/2010,???,???,???,6401200-027,50,??,1,1,22,18,40,1,0,1,0,0,2,2,0,0,4,2.5
2/24/2010,???,???,???,6401200-017,50,??,1,1,14,11,25,0,1,1,0,0,1,2,0,0,2,4
2/24/2010,???,???,???,6401200-046,50,??,1,1,5,12,17,0,2,2,0,0,15,4,0,0,30,11.764
2/24/2010,???,???,???,6401200-038,50,??,1,1,19,20,39,0,1,1,0,0,1,2,0,0,2,2.564
2/24/2010,???,???,???,6401200-075,50,??,1,1,13,9,22,0,1,1,0,5,3,2,0.1,0,6,4.545
2/24/2010,???,???,???,6401200-033,50,??,2,2,12,12,24,1,1,2,0,0,17,4,0,0,34,8.333
2/25/2010,???,???,???,6401200-071,50,??,1,0,17,21,38,0,1,1,0,0,0,2,0,0,2,2.631
2/25/2010,???,???,???,6401200-032,50,??,1,1,31,8,39,0,1,1,0,0,1,2,0,0,2,2.564
2/25/2010,???,???,???,6401200-017,50,??,1,1,18,13,31,1,0,1,0,0,5,2,0,0,10,3.225
2/25/2010,???,???,???,6401200-017,50,??,2,1,14,14,28,1,1,2,0,0,10,4,0,0,40,7.142
2/25/2010,???,???,???,6401200-038,50,??,1,1,11,23,34,0,1,1,0,0,3,2,0,0,6,2.941
2/25/2010,???,???,???,6401200-033,50,??,1,1,5,23,28,0,1,1,0,0,15,2,0,0,40,3.571
2/25/2010,???,???,???,6401200-040,50,??,1,1,14,13,27,0,1,1,0,0,10,2,0,0,20,3.703
2/26/2010,???,???,???,6401200-028,50,??,2,2,12,12,24,1,1,2,0,0,15,4,0,0,30,8.333
2/26/2010,???,???,???,6401200-072,50,??,4,4,17,11,28,1,3,4,0,0,36,8,0,0,72,14.285
2/26/2010,???,???,???,6401200-069,50,??,1,1,13,10,23,0,1,1,0,0,2,2,0,0,4,4.347
2/26/2010,???,???,???,6401200-070,50,??,2,0,7,23,30,0,3,3,0,0,0,6,0,0,40,10
2/26/2010,???,???,???,6401200-043,50,??,1,1,11,11,22,0,1,1,0,0,2,2,0,0,4,4.545
2/26/2010,???,???,???,6401200-017,50,??,1,1,15,6,21,0,2,2,0,0,10,4,0,0,20,9.523
2/26/2010,???,???,???,6401200-064,50,??,1,1,12,15,27,0,1,1,0,0,3,2,0,0,6,3.703
2/26/2010,???,???,???,6401200-034,50,??,1,1,12,9,21,0,1,1,0,0,10,2,0,0,20,4.761
2/26/2010,???,???,???,6401200-075,50,??,3,3,13,8,21,0,3,3,3,0,14,6,0.06,0,28,14.285
2/26/2010,???,???,???,6401200-025,50,??,1,0,22,11,33,0,1,1,0,0,5,2,0,0,10,3.03
2/26/2010,???,???,???,6401200-066,50,??,1,1,17,8,25,1,0,1,0,0,1,2,0,0,2,4
2/26/2010,???,???,???,6401200-073,50,??,1,1,16,14,30,1,0,1,0,0,5,2,0,0,10,3.333
3/1/2010,???,???,???,6401200-057,50,??,1,0,17,9,26,0,1,1,0,0,15,2,0,0,30,3.846
3/1/2010,???,???,???,6401200-071,50,??,1,1,15,10,25,0,2,2,0,0,21,4,0,0,42,8
3/1/2010,???,???,???,6401200-043,50,??,1,1,10,10,20,1,0,1,0,0,10,2,0,0,20,5
3/1/2010,???,???,???,6401200-017,50,??,1,1,11,20,31,0,1,1,0,0,3,2,0,0,6,3.225
3/1/2010,???,???,???,6401200-017,50,??,1,1,24,8,32,1,0,1,0,9,5,2,0.18,0,10,3.125
3/1/2010,???,???,???,6401200-055,50,??,1,1,10,17,27,0,1,1,0,0,5,2,0,0,10,3.703
3/1/2010,???,???,???,6401200-067,50,??,1,1,10,15,25,0,1,1,0,0,3,2,0,0,6,4
3/1/2010,???,???,???,6401200-067,50,??,1,1,19,10,29,1,0,1,0,0,5,2,0,0,10,3.448
3/2/2010,???,???,???,6401200-072,50,??,1,1,19,9,28,0,1,1,0,2,1,2,0.04,0,2,3.571
3/2/2010,???,???,???,6401200-071,50,??,1,1,17,12,29,0,1,1,0,0,2,2,0,0,4,3.448
3/2/2010,???,???,???,6401200-069,50,??,1,0,17,22,39,0,5,5,0,0,0,10,0,0,100,12.82
3/2/2010,???,???,???,6401200-043,50,??,1,1,7,11,18,0,1,1,0,0,1,2,0,0,2,5.555
3/2/2010,???,???,???,6401200-027,50,??,1,1,16,10,26,1,0,1,7,0,10,2,0.14,0,20,3.846
3/2/2010,???,???,???,6401200-017,50,??,3,1,9,29,38,0,4,4,0,0,20,8,0,0,90,10.526
3/2/2010,???,???,???,6401200-055,50,??,1,0,7,14,21,0,1,1,0,0,0,2,0,0,20,4.761
3/2/2010,???,???,???,6401200-065,50,??,1,1,16,9,25,0,1,1,0,1,10,2,0.02,0,20,4
3/2/2010,???,???,???,6401200-038,50,??,1,1,14,11,25,2,0,2,0,0,10,4,0,0,20,8
3/2/2010,???,???,???,6401200-040,50,??,1,0,15,9,24,0,1,1,0,0,0,2,0,0,30,4.166
3/2/2010,???,???,???,6401200-040,50,??,2,0,17,27,44,0,3,3,0,0,0,6,0,0,140,6.818
3/2/2010,???,???,???,6401200-040,50,??,3,0,10,16,26,0,3,3,0,0,0,6,0,0.02,46,11.538
3/3/2010,???,???,???,6401200-028,50,??,1,1,21,16,37,0,1,1,0,0,2,2,0,0,4,2.702
3/3/2010,???,???,???,6401200-072,50,??,1,1,14,9,23,0,1,1,0,2,1,2,0.04,0,2,4.347
3/3/2010,???,???,???,6401200-070,50,??,2,2,11,17,28,0,2,2,0,0,15,4,0,0,30,7.142
3/3/2010,???,???,???,6401200-046,50,??,1,1,3,14,17,0,1,1,0,0,10,2,0,0,20,5.882
3/3/2010,???,???,???,6401200-026,50,??,1,1,12,13,25,0,1,1,0,0,20,2,0,0,40,4
3/3/2010,???,???,???,6401200-037,50,??,1,1,14,10,24,0,1,1,0,0,5,2,0,0,10,4.166
3/3/2010,???,???,???,6401200-038,50,??,1,0,11,18,29,1,0,1,0,0,0,2,0,0,2,3.448
3/3/2010,???,???,???,6401200-054,50,??,1,1,18,9,27,0,1,1,0,1,7,2,0.02,0,14,3.703
3/3/2010,???,???,???,6401200-077,50,??,1,1,9,9,18,2,0,2,0,0,6,4,0,0,12,11.111
3/3/2010,???,???,???,6401200-077,50,??,2,2,13,4,17,1,1,2,0,0,15,4,0,0,30,11.764
3/3/2010,???,???,???,6401200-073,50,??,2,2,8,28,36,0,2,2,0,0,27,4,0,0,54,5.555
3/4/2010,???,???,???,6401200-028,50,??,1,1,15,12,27,1,0,1,0,0,9,2,0,0,18,3.703
3/4/2010,???,???,???,6401200-069,50,??,1,0,14,21,35,0,1,1,0,0,0,2,0,0,40,2.857
3/4/2010,???,???,???,6401200-075,50,??,1,1,18,10,28,0,1,1,0,2,5,2,0.04,0,10,3.571
3/4/2010,???,???,???,6401200-066,50,??,1,1,8,14,22,0,1,1,0,2,2,2,0.04,0,4,4.545
3/4/2010,???,???,???,6401200-068,50,??,1,1,10,10,20,0,1,1,0,0,20,2,0,0,40,5
3/4/2010,???,???,???,6401200-033,50,??,1,1,16,7,23,0,1,1,0,0,30,2,0,0,60,4.347
3/4/2010,???,???,???,6401200-040,50,??,1,0,8,25,33,0,1,1,0,0,0,2,0,0,40,3.03
3/4/2010,???,???,???,6401200-040,50,??,3,0,10,30,40,0,3,3,0,0,0,6,0,0.02,96,7.5
3/4/2010,???,???,???,6401200-073,50,??,2,2,15,26,41,0,2,2,0,0,23,4,0,0,46,4.878
3/5/2010,???,???,???,6401200-017,50,??,1,1,13,12,25,0,1,1,0,0,1,2,0,0,2,4
3/5/2010,???,???,???,6401200-017,50,??,1,1,16,9,25,0,1,1,0,0,10,2,0,0,20,4
